,INDEX,BRAID,MODEL,DONE,N_STEPS,STEPS
0,0,"[-2, -2, -2, -2, -2, -2, -2, -2, -1, 1]",DQN,True,4,"[7, 1, 3, 5]"
1,0,"[-2, -2, -2, -2, -2, -2, -2, -2, -1, 1]",PPO,True,4,"[1, 3, 7, 5]"
2,0,"[-2, -2, -2, -2, -2, -2, -2, -2, -1, 1]",MaskablePPO,True,4,"[1, 3, 5, 7]"
3,1,"[-2, -2, -2, -2, -2, -2, -2, 2, 1, 1]",DQN,True,6,"[3, 3, 3, 1, 8, 5]"
4,1,"[-2, -2, -2, -2, -2, -2, -2, 2, 1, 1]",PPO,True,4,"[5, 1, 9, 3]"
5,1,"[-2, -2, -2, -2, -2, -2, -2, 2, 1, 1]",MaskablePPO,True,6,"[5, 3, 8, 8, 8, 2]"
6,2,"[-2, -2, -2, -2, -2, -2, -1, -1, -2, -2]",DQN,True,5,"[3, 9, 4, 1, 7]"
7,2,"[-2, -2, -2, -2, -2, -2, -1, -1, -2, -2]",PPO,True,5,"[9, 5, 1, 7, 3]"
8,2,"[-2, -2, -2, -2, -2, -2, -1, -1, -2, -2]",MaskablePPO,True,5,"[1, 3, 5, 9, 7]"
9,3,"[-2, -2, -2, -2, -2, -2, -1, -1, -1, 1]",DQN,True,4,"[2, 3, 5, 7]"
10,3,"[-2, -2, -2, -2, -2, -2, -1, -1, -1, 1]",PPO,True,6,"[1, 3, 0, 1, 5, 7]"
11,3,"[-2, -2, -2, -2, -2, -2, -1, -1, -1, 1]",MaskablePPO,True,4,"[3, 1, 5, 7]"
12,4,"[-2, -2, -2, -2, -2, -2, -1, -1, 2, -2]",DQN,True,4,"[3, 9, 6, 4]"
13,4,"[-2, -2, -2, -2, -2, -2, -1, -1, 2, -2]",PPO,True,4,"[4, 1, 5, 6]"
14,4,"[-2, -2, -2, -2, -2, -2, -1, -1, 2, -2]",MaskablePPO,True,4,"[1, 3, 9, 7]"
15,5,"[-2, -2, -2, -2, -2, -2, -1, 2, 2, -1]",DQN,True,5,"[3, 6, 5, 8, 1]"
16,5,"[-2, -2, -2, -2, -2, -2, -1, 2, 2, -1]",PPO,True,5,"[5, 9, 1, 8, 3]"
17,5,"[-2, -2, -2, -2, -2, -2, -1, 2, 2, -1]",MaskablePPO,True,5,"[5, 1, 6, 8, 3]"
18,6,"[-2, -2, -2, -2, -2, -2, 1, -1, 1, -1]",DQN,True,3,"[3, 0, 2]"
19,6,"[-2, -2, -2, -2, -2, -2, 1, -1, 1, -1]",PPO,True,3,"[2, 5, 1]"
20,6,"[-2, -2, -2, -2, -2, -2, 1, -1, 1, -1]",MaskablePPO,True,3,"[1, 3, 5]"
21,7,"[-2, -2, -2, -2, -2, -2, 1, -1, 2, -2]",DQN,True,5,"[3, 0, 6, 4, 6]"
22,7,"[-2, -2, -2, -2, -2, -2, 1, -1, 2, -2]",PPO,True,3,"[1, 9, 3]"
23,7,"[-2, -2, -2, -2, -2, -2, 1, -1, 2, -2]",MaskablePPO,True,3,"[3, 5, 1]"
24,8,"[-2, -2, -2, -2, -2, -2, 1, 1, -1, -1]",DQN,True,3,"[3, 5, 1]"
25,8,"[-2, -2, -2, -2, -2, -2, 1, 1, -1, -1]",PPO,True,3,"[5, 3, 2]"
26,8,"[-2, -2, -2, -2, -2, -2, 1, 1, -1, -1]",MaskablePPO,True,3,"[5, 1, 3]"
27,9,"[-2, -2, -2, -2, -2, -2, 1, 1, 1, -1]",DQN,True,6,"[9, 3, 6, 1, 5, 8]"
28,9,"[-2, -2, -2, -2, -2, -2, 1, 1, 1, -1]",PPO,True,6,"[3, 1, 9, 5, 8, 6]"
29,9,"[-2, -2, -2, -2, -2, -2, 1, 1, 1, -1]",MaskablePPO,True,4,"[5, 1, 3, 6]"
30,0,"[-2, -2, -2, -2, -2, -2, -2, -2, -1, 1]",GREEDY,True,4,"[0, 1, 2, 3]"
31,1,"[-2, -2, -2, -2, -2, -2, -2, 2, 1, 1]",GREEDY,True,4,"[8, 0, 1, 2]"
32,2,"[-2, -2, -2, -2, -2, -2, -1, -1, -2, -2]",GREEDY,True,5,"[6, 0, 1, 2, 3]"
33,3,"[-2, -2, -2, -2, -2, -2, -1, -1, -1, 1]",GREEDY,True,4,"[6, 0, 1, 2]"
34,4,"[-2, -2, -2, -2, -2, -2, -1, -1, 2, -2]",GREEDY,True,4,"[6, 0, 1, 2]"
35,5,"[-2, -2, -2, -2, -2, -2, -1, 2, 2, -1]",GREEDY,True,5,"[7, 6, 0, 1, 2]"
36,6,"[-2, -2, -2, -2, -2, -2, 1, -1, 1, -1]",GREEDY,True,3,"[0, 1, 2]"
37,7,"[-2, -2, -2, -2, -2, -2, 1, -1, 2, -2]",GREEDY,True,3,"[0, 1, 2]"
