,0,1,2,3,4,5,6,7,8,9,braid_knot_env,braid_knot_env_0_1,braid_knot_env_0_1_limexp,braid_knot_env_0_1_limexp_u,braid_knot_env_0_1_limexp_k2
0,-2,-2,-2,-2,-2,-2,-2,-2,-1,1,4,4,4,4,4
1,-2,-2,-2,-2,-2,-2,-2,2,1,1,4,4,4,4,4
2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,5,5,5,5,5
3,-2,-2,-2,-2,-2,-2,-1,-1,-1,1,4,4,4,4,6
4,-2,-2,-2,-2,-2,-2,-1,-1,2,-2,4,4,4,4,4
5,-2,-2,-2,-2,-2,-2,-1,2,2,-1,5,5,5,5,5
6,-2,-2,-2,-2,-2,-2,1,-1,1,-1,3,3,3,3,3
7,-2,-2,-2,-2,-2,-2,1,-1,2,-2,3,3,3,3,3
8,-2,-2,-2,-2,-2,-2,1,1,-1,-1,3,3,3,3,3
9,-2,-2,-2,-2,-2,-2,1,1,1,-1,6,6,6,4,4
10,-2,-2,-2,-2,-2,-2,1,1,1,1,5,5,7,5,5
11,-2,-2,-2,-2,-2,-2,1,1,2,2,3,3,3,3,3
12,-2,-2,-2,-2,-2,-2,1,2,2,-1,4,6,6,4,4
13,-2,-2,-2,-2,-2,-2,2,1,-1,-2,3,3,3,3,3
14,-2,-2,-2,-2,-2,-2,2,1,1,2,3,3,3,3,3
15,-2,-2,-2,-2,-2,-1,-2,1,2,1,2,2,2,2,2
16,-2,-2,-2,-2,-2,-1,-2,2,-1,-2,4,4,4,4,4
17,-2,-2,-2,-2,-2,-1,-1,1,-1,-2,4,4,4,4,4
18,-2,-2,-2,-2,-2,-1,-1,1,1,-2,3,3,3,3,3
19,-2,-2,-2,-2,-2,-1,-1,2,1,-1,3,3,3,3,3
20,-2,-2,-2,-2,-2,-1,-1,2,1,1,4,4,4,4,4
21,-2,-2,-2,-2,-2,-1,1,-1,-1,-2,4,4,4,4,4
22,-2,-2,-2,-2,-2,-1,1,1,1,-2,4,4,4,4,4
23,-2,-2,-2,-2,-2,-1,2,-2,-1,2,3,3,3,3,3
24,-2,-2,-2,-2,-2,-1,2,-2,1,-2,3,5,3,3,3
25,-2,-2,-2,-2,-2,-1,2,1,-2,-1,3,3,3,3,3
26,-2,-2,-2,-2,-2,1,-2,1,2,-1,4,4,4,4,4
27,-2,-2,-2,-2,-2,1,-2,2,-1,-2,3,3,3,3,3
28,-2,-2,-2,-2,-2,1,-1,-2,-2,2,3,3,3,3,3
29,-2,-2,-2,-2,-2,1,-1,-2,-1,-1,4,4,4,4,4
30,-2,-2,-2,-2,-2,1,-1,-2,2,2,2,2,2,2,2
31,-2,-2,-2,-2,-2,1,-1,-1,1,-2,3,3,3,3,3
32,-2,-2,-2,-2,-2,1,-1,2,-2,-2,3,3,3,3,3
33,-2,-2,-2,-2,-2,1,-1,2,2,-2,2,2,2,2,2
34,-2,-2,-2,-2,-2,1,1,-2,2,-2,4,6,4,4,4
35,-2,-2,-2,-2,-2,1,1,1,-1,2,3,3,3,3,3
36,-2,-2,-2,-2,-2,1,1,2,-1,-1,4,4,6,4,4
37,-2,-2,-2,-2,-2,1,1,2,-1,1,3,3,3,3,3
38,-2,-2,-2,-2,-2,1,1,2,1,1,4,4,4,4,4
39,-2,-2,-2,-2,-2,1,2,-2,-1,-2,3,3,3,3,3
40,-2,-2,-2,-2,-2,1,2,-2,1,2,3,3,3,3,3
41,-2,-2,-2,-2,-2,1,2,-1,-2,-1,3,3,3,3,5
42,-2,-2,-2,-2,-2,2,-2,-2,-1,1,3,3,3,3,3
43,-2,-2,-2,-2,-2,2,-2,-1,-1,-2,4,4,4,4,4
44,-2,-2,-2,-2,-2,2,-2,1,-1,-2,3,3,3,3,3
45,-2,-2,-2,-2,-2,2,-2,1,-1,2,2,2,2,2,2
46,-2,-2,-2,-2,-2,2,-2,1,1,-2,4,4,4,4,4
47,-2,-2,-2,-2,-2,2,-2,2,-2,2,2,2,2,2,2
48,-2,-2,-2,-2,-2,2,-1,-1,-2,-2,4,4,4,4,4
49,-2,-2,-2,-2,-2,2,-1,-1,2,-2,3,3,3,3,3
50,-2,-2,-2,-2,-2,2,-1,1,-1,-1,3,3,3,3,3
51,-2,-2,-2,-2,-2,2,-1,1,2,2,1,1,1,1,1
52,-2,-2,-2,-2,-2,2,1,1,1,1,4,4,4,4,4
53,-2,-2,-2,-2,-2,2,1,2,2,-1,3,3,3,3,3
54,-2,-2,-2,-2,-2,2,2,-2,-2,-2,3,3,3,3,3
55,-2,-2,-2,-2,-2,2,2,-2,-1,1,2,2,2,2,2
56,-2,-2,-2,-2,-2,2,2,-1,1,-2,2,2,2,2,2
57,-2,-2,-2,-2,-2,2,2,1,1,-2,3,3,3,3,3
58,-2,-2,-2,-2,-2,2,2,1,1,2,2,2,2,2,2
59,-2,-2,-2,-2,-2,2,2,2,-1,-1,2,2,2,2,2
60,-2,-2,-2,-2,-1,-2,-2,-1,2,-2,4,4,4,4,4
61,-2,-2,-2,-2,-1,-2,-2,-1,2,2,3,3,3,3,3
62,-2,-2,-2,-2,-1,-2,-2,1,1,1,4,4,4,4,4
63,-2,-2,-2,-2,-1,-2,-1,-2,1,2,3,3,3,3,3
64,-2,-2,-2,-2,-1,-2,-1,-1,-2,1,4,4,4,4,6
65,-2,-2,-2,-2,-1,-2,-1,1,2,-1,3,3,3,3,3
66,-2,-2,-2,-2,-1,-2,-1,1,2,1,2,2,2,2,2
67,-2,-2,-2,-2,-1,-2,1,-2,-1,-2,4,4,4,4,101
68,-2,-2,-2,-2,-1,-2,1,1,-2,1,2,4,2,2,2
69,-2,-2,-2,-2,-1,-2,2,-1,-1,1,3,3,3,3,3
70,-2,-2,-2,-2,-1,-2,2,-1,1,1,2,2,2,2,2
71,-2,-2,-2,-2,-1,-2,2,1,-1,1,2,2,2,2,2
72,-2,-2,-2,-2,-1,-2,2,1,1,-1,2,2,2,2,2
73,-2,-2,-2,-2,-1,-2,2,1,1,1,3,3,3,3,3
74,-2,-2,-2,-2,-1,-2,2,2,-2,1,4,2,2,2,2
75,-2,-2,-2,-2,-1,-1,-2,1,-1,2,3,3,3,3,3
76,-2,-2,-2,-2,-1,-1,-2,1,1,2,4,4,4,4,4
77,-2,-2,-2,-2,-1,-1,-2,2,-2,-2,4,4,4,4,4
78,-2,-2,-2,-2,-1,-1,-1,-2,-2,-1,5,5,5,5,5
79,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,5,5,5,5,5
80,-2,-2,-2,-2,-1,-1,-1,1,-2,2,3,3,3,3,3
81,-2,-2,-2,-2,-1,-1,-1,1,1,1,2,4,2,2,2
82,-2,-2,-2,-2,-1,-1,-1,1,2,-2,3,3,3,3,3
83,-2,-2,-2,-2,-1,-1,-1,1,2,2,2,2,2,2,2
84,-2,-2,-2,-2,-1,-1,1,-1,-1,-1,4,4,4,4,4
85,-2,-2,-2,-2,-1,-1,1,1,-2,2,2,2,2,2,2
86,-2,-2,-2,-2,-1,-1,1,1,-1,-1,3,3,3,3,3
87,-2,-2,-2,-2,-1,-1,1,1,-1,1,2,2,2,2,2
88,-2,-2,-2,-2,-1,-1,1,1,1,1,3,3,3,3,3
89,-2,-2,-2,-2,-1,-1,1,2,2,1,3,3,5,3,3
90,-2,-2,-2,-2,-1,-1,2,2,-2,-2,3,3,3,3,3
91,-2,-2,-2,-2,-1,1,-2,-2,-1,-1,4,4,4,4,4
92,-2,-2,-2,-2,-1,1,-2,-2,-1,1,3,3,3,3,3
93,-2,-2,-2,-2,-1,1,-2,-1,1,-2,3,3,3,3,3
94,-2,-2,-2,-2,-1,1,-2,-1,1,2,2,2,2,2,2
95,-2,-2,-2,-2,-1,1,-2,2,-1,-1,3,3,3,3,3
96,-2,-2,-2,-2,-1,1,-1,-1,-1,-1,4,4,4,4,4
97,-2,-2,-2,-2,-1,1,-1,1,-2,-2,3,3,3,3,3
98,-2,-2,-2,-2,-1,1,-1,2,-2,-1,3,3,3,3,3
99,-2,-2,-2,-2,-1,1,1,1,1,1,4,4,4,4,4
100,-2,-2,-2,-2,-1,1,1,2,-2,-1,2,6,2,2,2
101,-2,-2,-2,-2,-1,1,1,2,2,-1,3,3,3,3,3
102,-2,-2,-2,-2,-1,1,2,-2,-1,1,2,2,2,2,2
103,-2,-2,-2,-2,-1,1,2,-2,2,2,1,1,1,1,1
104,-2,-2,-2,-2,-1,2,-2,-2,-2,-1,4,4,4,4,4
105,-2,-2,-2,-2,-1,2,-2,-2,2,1,2,2,2,2,4
106,-2,-2,-2,-2,-1,2,-2,-1,-2,-2,4,4,4,4,6
107,-2,-2,-2,-2,-1,2,-2,2,2,1,3,3,3,3,5
108,-2,-2,-2,-2,-1,2,-1,1,-2,-1,3,3,3,3,3
109,-2,-2,-2,-2,-1,2,1,-2,-1,-2,3,3,3,3,3
110,-2,-2,-2,-2,-1,2,2,-2,2,1,3,5,5,3,5
