,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,greedy,unknoting_number,MaskablePPO,PPO
0,-2,-2,-2,-2,-2,-2,-2,-2,1,-1,2,1,1,-1,-1,1,1,2,-2,2,4,4,4,8
1,-2,-2,-2,-2,-2,-2,-2,-1,-1,1,-1,-2,1,1,1,-2,-2,1,2,2,7,7,9,9
2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,1,-2,1,-1,-1,-1,1,-2,1,3,3,3,3
3,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-1,-1,-2,1,-2,1,2,2,-1,2,7,7,9,7
4,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,2,2,-1,2,-2,-2,103,7,9,9
5,-2,-2,-2,-2,-2,-2,1,-2,1,-1,-2,-1,2,-2,1,1,1,-2,2,-1,5,5,5,11
6,-2,-2,-2,-2,-2,-2,1,1,2,1,1,-2,1,1,-1,-2,-2,2,-2,1,5,5,7,9
7,-2,-2,-2,-2,-2,-2,2,-2,-1,-1,2,-1,2,1,-1,-2,1,2,1,-1,3,3,3,7
8,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-1,2,1,1,1,-2,1,-2,-2,4,4,6,8
9,-2,-2,-2,-2,-2,-1,-2,2,1,1,-1,2,-2,2,1,1,2,-1,1,2,2,2,2,6
10,-2,-2,-2,-2,-2,-1,1,-2,1,-1,-1,-1,-2,2,-1,2,-2,-2,2,-1,7,5,7,9
11,-2,-2,-2,-2,-2,-1,1,-1,2,2,1,2,2,2,1,-1,-1,-2,-2,-1,2,2,4,6
12,-2,-2,-2,-2,-2,-1,2,2,2,2,1,-1,2,2,2,1,2,2,-2,-1,5,5,5,11
13,-2,-2,-2,-2,-2,1,-2,1,1,-1,-2,-2,1,-1,2,-2,1,1,-2,1,4,4,4,10
14,-2,-2,-2,-2,-2,1,-1,2,-1,-1,-1,1,-2,1,-1,2,2,1,1,-2,4,4,6,4
15,-2,-2,-2,-2,-2,1,1,1,-1,-1,1,2,-1,1,-2,-2,-1,-1,2,-2,5,5,5,9
16,-2,-2,-2,-2,-2,1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,8,6,12,8
17,-2,-2,-2,-2,-2,2,-2,-1,1,2,2,-2,-2,-2,-1,1,2,-2,2,2,2,2,4,2
18,-2,-2,-2,-2,-2,2,-2,2,-1,-2,2,1,1,-1,-2,-1,-1,-2,1,1,103,5,7,7
19,-2,-2,-2,-2,-2,2,-1,-1,2,2,2,-2,-2,-2,1,1,-1,-1,2,-2,3,3,7,7
20,-2,-2,-2,-2,-2,2,1,2,1,2,2,1,-2,2,1,2,2,2,1,-2,5,5,9,7
